Order Type,Order Number,Datetime
short,3000,02.02.2023 00:55:42
long,3000,02.02.2023 01:06:38
long,3000,02.02.2023 01:30:24
long,3000,02.02.2023 02:37:28
long,3000,02.02.2023 05:48:07
long,3000,02.02.2023 06:12:13
long,3000,02.02.2023 06:23:48
long,3000,02.02.2023 13:54:41
short,3000,02.02.2023 14:19:13
long,3000,02.02.2023 14:44:47
short,3000,02.02.2023 14:48:20
long,3000,02.02.2023 14:57:05
short,3000,02.02.2023 15:53:35
short,3000,02.02.2023 17:56:06
short,3000,02.02.2023 18:02:59
short,3000,02.02.2023 18:15:32
long,3000,02.02.2023 19:04:14
long,3000,02.02.2023 19:12:14
long,3000,02.02.2023 19:22:43
long,3000,02.02.2023 19:42:49
short,3000,02.02.2023 20:59:49
long,3000,02.02.2023 21:07:00
long,3000,02.02.2023 21:30:21
long,3000,02.02.2023 21:59:19
short,3000,02.02.2023 22:25:03
short,3000,02.02.2023 22:53:01
long,3000,02.02.2023 23:56:23
long,3000,03.02.2023 02:42:22
long,3000,03.02.2023 08:04:36
long,3000,03.02.2023 08:10:10
short,3000,03.02.2023 11:41:13
long,3000,03.02.2023 13:30:32
long,3000,03.02.2023 14:26:23
short,3000,03.02.2023 14:41:26
long,3000,03.02.2023 15:25:46
long,3000,03.02.2023 16:57:40
short,3000,03.02.2023 17:42:10
long,3000,03.02.2023 18:00:06
long,3000,03.02.2023 18:09:16
long,3000,03.02.2023 18:30:49
long,3000,03.02.2023 19:56:27
long,3000,03.02.2023 20:00:06
long,3000,03.02.2023 20:04:14
long,3000,04.02.2023 04:36:30
long,3000,04.02.2023 05:16:27
short,3000,04.02.2023 13:04:01
long,3000,04.02.2023 16:21:49
long,3000,04.02.2023 23:38:35
long,3000,04.02.2023 23:44:00
long,3000,05.02.2023 00:56:17
short,3000,05.02.2023 06:38:00
long,3000,05.02.2023 12:54:38
long,3000,05.02.2023 12:57:56
long,3000,05.02.2023 16:19:46
long,3000,05.02.2023 17:07:44
long,3000,05.02.2023 17:14:30
long,3000,05.02.2023 17:17:55
long,3000,05.02.2023 17:39:51
long,3000,05.02.2023 17:49:37
long,3000,05.02.2023 18:29:07
long,3000,05.02.2023 19:05:47
long,3000,05.02.2023 19:27:13
short,3000,05.02.2023 22:12:53
short,3000,05.02.2023 22:27:11
short,3000,06.02.2023 00:41:24
long,3000,06.02.2023 01:31:24
long,3000,06.02.2023 02:53:33
long,3000,06.02.2023 05:22:32
long,3000,06.02.2023 05:27:29
short,3000,06.02.2023 07:54:46
long,3000,06.02.2023 11:25:49
long,3000,06.02.2023 11:29:22
short,3000,06.02.2023 12:00:31
long,3000,06.02.2023 14:15:26
short,3000,06.02.2023 15:56:25
short,3000,06.02.2023 16:06:42
short,3000,06.02.2023 16:19:15
long,3000,06.02.2023 16:35:28
long,3000,06.02.2023 16:39:20
short,3000,06.02.2023 19:16:14
long,3000,06.02.2023 22:06:50
long,3000,06.02.2023 23:05:58
long,3000,06.02.2023 23:11:22
long,3000,06.02.2023 23:19:23
short,3000,07.02.2023 00:13:13
short,3000,07.02.2023 04:32:23
short,3000,07.02.2023 09:49:36
short,3000,07.02.2023 09:55:18
short,3000,07.02.2023 10:20:35
long,3000,07.02.2023 13:34:09
long,3000,07.02.2023 15:13:51
long,3000,07.02.2023 15:28:27
